root;no_asm;no_8x8dct;no_cabac;no_deblock;no_fast_pskip;no_mbtree;no_mixed_refs;no_weightb;rc_lookahead;rc_lookahead_20;rc_lookahead_40;rc_lookahead_60;ref;ref_1;ref_5;ref_9;core;core1;core2;core3;core4;energy;performance
1;1;1;1;1;1;1;0;1;1;1;0;0;1;1;0;0;1;0;0;1;0;1.4598;31.16
1;1;1;1;1;1;1;0;1;1;1;0;0;1;0;1;0;1;0;0;0;1;1.9844;36.032
1;1;1;1;1;1;1;0;1;1;1;0;0;1;0;1;0;1;1;0;0;0;4.3822;133.236
1;1;1;1;1;1;1;0;1;1;1;0;0;1;0;1;0;1;0;1;0;0;2.8378;70.876
1;1;1;1;1;1;1;0;1;1;1;0;0;1;0;1;0;1;0;0;1;0;2.2828;50.178
1;1;1;1;1;1;1;0;1;1;1;0;0;1;0;0;1;1;0;0;0;1;2.7642;50.35
1;1;1;1;1;1;1;0;1;1;1;0;0;1;0;0;1;1;1;0;0;0;5.9118;184.806
1;1;1;1;1;1;1;0;1;1;1;0;0;1;0;0;1;1;0;1;0;0;3.8536;99.084
1;1;1;1;1;1;1;0;1;1;1;0;0;1;0;0;1;1;0;0;1;0;3.4554;71.092
1;1;1;1;1;1;1;0;1;1;0;1;0;1;1;0;0;1;0;0;0;1;1.2984;23.408
1;1;1;1;1;1;1;0;1;1;0;1;0;1;1;0;0;1;1;0;0;0;2.8756;87.328
1;1;1;1;1;1;1;0;1;1;0;1;0;1;1;0;0;1;0;1;0;0;1.8882;46.448
1;1;1;1;1;1;1;0;1;1;0;1;0;1;1;0;0;1;0;0;1;0;1.5068;31.094
1;1;1;1;1;1;1;0;1;1;0;1;0;1;0;1;0;1;0;0;0;1;2.015;36.216
1;1;1;1;1;1;1;0;1;1;0;1;0;1;0;1;0;1;1;0;0;0;4.1194;133.016
1;1;1;1;1;1;1;0;1;1;0;1;0;1;0;1;0;1;0;1;0;0;2.8114;70.848
1;1;1;1;1;1;1;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;2.296;50.042
1;1;1;1;1;1;1;0;1;1;0;1;0;1;0;0;1;1;0;0;0;1;2.9906;50.322
1;1;1;1;1;1;1;0;1;1;0;1;0;1;0;0;1;1;1;0;0;0;5.7246;184.54
1;1;1;1;1;1;1;0;1;1;0;1;0;1;0;0;1;1;0;1;0;0;3.9678;98.686
1;1;1;1;1;1;1;0;1;1;0;1;0;1;0;0;1;1;0;0;1;0;3.458;71.328
1;1;1;1;1;1;1;0;1;1;0;0;1;1;1;0;0;1;0;0;0;1;1.2668;23.374
1;1;1;1;1;1;1;0;1;1;0;0;1;1;1;0;0;1;1;0;0;0;2.8872;87.288
1;1;1;1;1;1;1;0;1;1;0;0;1;1;1;0;0;1;0;1;0;0;1.7896;46.38
1;1;1;1;1;1;1;0;1;1;0;0;1;1;1;0;0;1;0;0;1;0;1.4712;31.216
1;1;1;1;1;1;1;0;1;1;0;0;1;1;0;1;0;1;0;0;0;1;2.082;36.164
1;1;1;1;1;1;1;0;1;1;0;0;1;1;0;1;0;1;1;0;0;0;4.3894;132.954
1;1;1;1;1;1;1;0;1;1;0;0;1;1;0;1;0;1;0;1;0;0;2.787;70.884
1;1;1;1;1;1;1;0;1;1;0;0;1;1;0;1;0;1;0;0;1;0;2.2966;50.268
1;1;1;1;1;1;1;0;1;1;0;0;1;1;0;0;1;1;0;0;0;1;2.9866;50.434
1;1;1;1;1;1;1;0;1;1;0;0;1;1;0;0;1;1;1;0;0;0;5.7244;184.508
1;1;1;1;1;1;1;0;1;1;0;0;1;1;0;0;1;1;0;1;0;0;3.8316;98.794
1;1;1;1;1;1;1;0;1;1;0;0;1;1;0;0;1;1;0;0;1;0;3.2316;71.098
1;1;1;1;1;1;1;0;0;1;1;0;0;1;1;0;0;1;0;0;0;1;1.245;23.178
1;1;1;1;1;1;1;0;0;1;1;0;0;1;1;0;0;1;1;0;0;0;2.8498;86.752
1;1;1;1;1;1;1;0;0;1;1;0;0;1;1;0;0;1;0;1;0;0;1.878;45.96
1;1;1;1;1;1;1;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;1.4646;31.208
1;1;1;1;1;1;1;0;0;1;1;0;0;1;0;1;0;1;0;0;0;1;1.9432;35.556
1;1;1;1;1;1;1;0;0;1;1;0;0;1;0;1;0;1;1;0;0;0;4.3432;132.104
1;1;1;1;1;1;1;0;0;1;1;0;0;1;0;1;0;1;0;1;0;0;2.8276;70.38
1;1;1;1;1;1;1;0;0;1;1;0;0;1;0;1;0;1;0;0;1;0;2.3242;50.19
1;1;1;1;1;1;1;0;0;1;1;0;0;1;0;0;1;1;0;0;0;1;2.7364;50.016
1;1;1;1;1;1;1;0;0;1;1;0;0;1;0;0;1;1;1;0;0;0;6.0588;183.728
1;1;1;1;1;1;1;0;0;1;1;0;0;1;0;0;1;1;0;1;0;0;3.8934;98.636
1;1;1;1;1;1;1;0;0;1;1;0;0;1;0;0;1;1;0;0;1;0;3.436;71.014
1;1;1;1;1;1;1;0;0;1;0;1;0;1;1;0;0;1;0;0;0;1;1.2908;23.148
1;1;1;1;1;1;1;0;0;1;0;1;0;1;1;0;0;1;1;0;0;0;2.7736;86.776
1;1;1;1;1;1;1;0;0;1;0;1;0;1;1;0;0;1;0;1;0;0;1.8806;45.93
1;1;1;1;1;1;1;0;0;1;0;1;0;1;1;0;0;1;0;0;1;0;1.4322;31
1;1;1;1;1;1;1;0;0;1;0;1;0;1;0;1;0;1;0;0;0;1;1.9832;35.664
1;1;1;1;1;1;1;0;0;1;0;1;0;1;0;1;0;1;1;0;0;0;4.0834;132.146
1;1;1;1;1;1;1;0;0;1;0;1;0;1;0;1;0;1;0;1;0;0;2.7346;70.476
1;1;1;1;1;1;1;0;0;1;0;1;0;1;0;1;0;1;0;0;1;0;2.4262;50.458
1;1;1;1;1;1;1;0;0;1;0;1;0;1;0;0;1;1;0;0;0;1;2.9596;50.19
1;1;1;1;1;1;1;0;0;1;0;1;0;1;0;0;1;1;1;0;0;0;5.8874;183.844
1;1;1;1;1;1;1;0;0;1;0;1;0;1;0;0;1;1;0;1;0;0;4.0522;98.556
1;1;1;1;1;1;1;0;0;1;0;1;0;1;0;0;1;1;0;0;1;0;3.448;71.134
1;1;1;1;1;1;1;0;0;1;0;0;1;1;1;0;0;1;0;0;0;1;1.2694;23.178
1;1;1;1;1;1;1;0;0;1;0;0;1;1;1;0;0;1;1;0;0;0;2.6916;86.802
1;1;1;1;1;1;1;0;0;1;0;0;1;1;1;0;0;1;0;1;0;0;1.7544;45.894
1;1;1;1;1;1;1;0;0;1;0;0;1;1;1;0;0;1;0;0;1;0;1.466;31.154
1;1;1;1;1;1;1;0;0;1;0;0;1;1;0;1;0;1;0;0;0;1;2.0858;35.924
1;1;1;1;1;1;1;0;0;1;0;0;1;1;0;1;0;1;1;0;0;0;4.3628;132.308
1;1;1;1;1;1;1;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;2.8116;70.59
1;1;1;1;1;1;1;0;0;1;0;0;1;1;0;1;0;1;0;0;1;0;2.415;50.296
1;1;1;1;1;1;1;0;0;1;0;0;1;1;0;0;1;1;0;0;0;1;2.9884;50.272
1;1;1;1;1;1;1;0;0;1;0;0;1;1;0;0;1;1;1;0;0;0;5.9246;183.864
1;1;1;1;1;1;1;0;0;1;0;0;1;1;0;0;1;1;0;1;0;0;3.7954;98.726
