root;encryption;compression;compressionBzip2;compressionGzip;compressionLzo;compressionZpaq;compressionLzma;unlimitedWindowSize;disableCompressibilityTesting;level;processorCount;maxRam;energy;performance
1;0;0;0;0;0;0;0;1;0;6;4;6;0.024579;0.003349
1;0;0;0;0;0;0;0;1;0;7;4;6;0.036134;0.009274
1;0;0;0;0;0;0;0;1;0;8;4;6;0.062635;0.012064
1;0;0;0;0;0;0;0;1;0;9;4;6;0.063568;0.003429
1;0;0;0;0;0;0;0;1;0;1;1;18;0.058420;0.004376
1;0;0;0;0;0;0;0;1;0;2;1;18;0.038242;0.006804
1;0;0;0;0;0;0;0;1;0;3;1;18;0.039102;0.011658
1;0;0;0;0;0;0;0;1;0;4;1;18;0.081537;0.007153
1;0;0;0;0;0;0;0;1;0;5;1;18;0.040691;0.006325
1;0;0;0;0;0;0;0;1;0;6;1;18;0.026261;0.020148
1;0;0;0;0;0;0;0;1;0;7;1;18;0.033527;0.007933
1;0;0;0;0;0;0;0;1;0;8;1;18;0.023225;0.006992
1;0;0;0;0;0;0;0;1;0;9;1;18;0.064862;0.013060
1;0;0;0;0;0;0;0;1;0;1;2;18;0.073433;0.022536
1;0;0;0;0;0;0;0;1;0;2;2;18;0.038669;0.016011
1;0;0;0;0;0;0;0;1;0;3;2;18;0.037720;0.035676
1;0;0;0;0;0;0;0;1;0;4;2;18;0.066262;0.006177
1;0;0;0;0;0;0;0;1;0;5;2;18;0.045629;0.022556
1;0;0;0;0;0;0;0;1;0;6;2;18;0.051889;0.005802
1;0;0;0;0;0;0;0;1;0;7;2;18;0.027568;0.018393
1;0;0;0;0;0;0;0;1;0;8;2;18;0.028932;0.002459
1;0;0;0;0;0;0;0;1;0;9;2;18;0.023207;0.010488
1;0;0;0;0;0;0;0;1;0;1;3;18;0.032200;0.004646
1;0;0;0;0;0;0;0;1;0;2;3;18;0.077429;0.044941
1;0;0;0;0;0;0;0;1;0;3;3;18;0.024834;0.026514
1;0;0;0;0;0;0;0;1;0;4;3;18;0.031692;0.002641
1;0;0;0;0;0;0;0;1;0;5;3;18;0.023494;0.020781
1;0;0;0;0;0;0;0;1;0;6;3;18;0.018501;0.005225
1;0;0;0;0;0;0;0;1;0;7;3;18;0.072392;0.041545
1;0;0;0;0;0;0;0;1;0;8;3;18;0.034004;0.019421
1;0;0;0;0;0;0;0;1;0;9;3;18;0.035685;0.001491
1;0;0;0;0;0;0;0;1;0;1;4;18;0.036189;0.021589
1;0;0;0;0;0;0;0;1;0;2;4;18;0.030620;0.004364
1;0;0;0;0;0;0;0;1;0;3;4;18;0.041566;0.016983
1;0;0;0;0;0;0;0;1;0;4;4;18;0.031896;0.038688
1;0;0;0;0;0;0;0;1;0;5;4;18;0.032195;0.004213
1;0;0;0;0;0;0;0;1;0;6;4;18;0.026329;0.028332
1;0;0;0;0;0;0;0;1;0;7;4;18;0.034148;0.004445
1;0;0;0;0;0;0;0;1;0;8;4;18;0.031537;0.010255
1;0;0;0;0;0;0;0;1;0;9;4;18;0.037550;0.028147
1;1;0;0;0;0;0;0;0;0;1;1;2;0.060068;0.054590
1;1;0;0;0;0;0;0;0;0;2;1;2;0.039052;0.038526
1;1;0;0;0;0;0;0;0;0;3;1;2;0.043593;0.031207
1;1;0;0;0;0;0;0;0;0;4;1;2;0.028083;0.023920
1;1;0;0;0;0;0;0;0;0;5;1;2;0.014439;0.012491
1;1;0;0;0;0;0;0;0;0;6;1;2;0.041023;0.027684
1;1;0;0;0;0;0;0;0;0;7;1;2;0.032096;0.009335
1;1;0;0;0;0;0;0;0;0;8;1;2;0.040077;0.030856
1;1;0;0;0;0;0;0;0;0;9;1;2;0.011207;0.021949
1;1;0;0;0;0;0;0;0;0;1;2;2;0.032210;0.018354
1;1;0;0;0;0;0;0;0;0;2;2;2;0.037987;0.017968
1;1;0;0;0;0;0;0;0;0;3;2;2;0.020765;0.029518
1;1;0;0;0;0;0;0;0;0;4;2;2;0.046244;0.015088
1;1;0;0;0;0;0;0;0;0;5;2;2;0.029706;0.010414
1;1;0;0;0;0;0;0;0;0;6;2;2;0.034918;0.021259
1;1;0;0;0;0;0;0;0;0;7;2;2;0.041725;0.010715
1;1;0;0;0;0;0;0;0;0;8;2;2;0.034552;0.019092
1;1;0;0;0;0;0;0;0;0;9;2;2;0.021643;0.010822
1;1;0;0;0;0;0;0;0;0;1;3;2;0.026132;0.019709
1;1;0;0;0;0;0;0;0;0;2;3;2;0.047058;0.023885
1;1;0;0;0;0;0;0;0;0;3;3;2;0.015858;0.010098
1;1;0;0;0;0;0;0;0;0;4;3;2;0.022367;0.012271
1;1;0;0;0;0;0;0;0;0;5;3;2;0.031255;0.005249
1;1;0;0;0;0;0;0;0;0;6;3;2;0.036298;0.019567
1;1;0;0;0;0;0;0;0;0;7;3;2;0.028143;0.008006
1;1;0;0;0;0;0;0;0;0;8;3;2;0.029038;0.004990
1;1;0;0;0;0;0;0;0;0;9;3;2;0.040510;0.026706
1;1;0;0;0;0;0;0;0;0;1;4;2;0.019675;0.014682
1;1;0;0;0;0;0;0;0;0;2;4;2;0.036590;0.011232
1;1;0;0;0;0;0;0;0;0;3;4;2;0.019737;0.012751
1;1;0;0;0;0;0;0;0;0;4;4;2;0.040434;0.028547
1;1;0;0;0;0;0;0;0;0;5;4;2;0.016624;0.015637
1;1;0;0;0;0;0;0;0;0;6;4;2;0.021131;0.014738
1;1;0;0;0;0;0;0;0;0;7;4;2;0.024179;0.010983
1;1;0;0;0;0;0;0;0;0;8;4;2;0.014471;0.007765
1;1;0;0;0;0;0;0;0;0;9;4;2;0.037891;0.034615
1;1;0;0;0;0;0;0;0;0;1;1;6;0.037373;0.005571
1;1;0;0;0;0;0;0;0;0;2;1;6;0.019199;0.010387
1;1;0;0;0;0;0;0;0;0;3;1;6;0.037080;0.013875
1;1;0;0;0;0;0;0;0;0;4;1;6;0.053376;0.023663
1;1;0;0;0;0;0;0;0;0;5;1;6;0.067903;0.006219
1;1;0;0;0;0;0;0;0;0;6;1;6;0.030656;0.011308
1;1;0;0;0;0;0;0;0;0;7;1;6;0.028516;0.019236
1;1;0;0;0;0;0;0;0;0;8;1;6;0.032724;0.006973
1;1;0;0;0;0;0;0;0;0;9;1;6;0.067691;0.019861
1;1;0;0;0;0;0;0;0;0;1;2;6;0.033554;0.005824
1;1;0;0;0;0;0;0;0;0;2;2;6;0.025689;0.014710
1;1;0;0;0;0;0;0;0;0;3;2;6;0.030242;0.009476
1;1;0;0;0;0;0;0;0;0;4;2;6;0.070119;0.015835
1;1;0;0;0;0;0;0;0;0;5;2;6;0.025945;0.016171
1;1;0;0;0;0;0;0;0;0;6;2;6;0.024682;0.019507
1;1;0;0;0;0;0;0;0;0;7;2;6;0.046302;0.007014
1;1;0;0;0;0;0;0;0;0;8;2;6;0.049744;0.013177
1;1;0;0;0;0;0;0;0;0;9;2;6;0.008609;0.007359
1;1;0;0;0;0;0;0;0;0;1;3;6;0.034364;0.010909
1;1;0;0;0;0;0;0;0;0;2;3;6;0.021627;0.015691
