root;ee_instrument;simplifycfg;ipsccp;called_value_propagation;basicaa;instcombine;inline;mergereturn;jump_threading;pgo_memop_opt;tailcallelim;licm;sink;gvn;sccp;adce;performance;energy
1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;0;66822.200000;2282.200000
1;0;0;0;0;0;0;0;0;1;1;1;1;0;1;1;0;67693.400000;2311.000000
1;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;62370.200000;2112.000000
1;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1;0;62314.200000;2148.600000
1;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;68080.200000;2307.400000
1;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;68211.600000;2316.800000
1;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;0;63398.800000;2162.800000
1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;68803.600000;2368.800000
1;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;62962.400000;2132.800000
1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;68984.000000;2315.000000
1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;53380.600000;1860.000000
1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;53429.400000;1847.200000
1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;56412.800000;1916.200000
1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;56442.800000;1933.600000
1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;57211.800000;1946.000000
1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;57744.600000;1970.600000
1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;57198.000000;1961.800000
1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;57948.600000;1972.800000
1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;56919.400000;1946.200000
1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;56946.600000;1928.000000
