root,twoPass,quality,bestQuality,goodQuality,rtQuality,constantBitrate,autoAltRef,noAltRef,allowResize,columnTiling,rowTiling,threads,threads_1,threads_2,threads_4,threads_8,arnrMaxFrames,arnrMaxFrames_0,arnrMaxFrames_5,arnrMaxFrames_15,arnrStrength,arnrStrength_0,arnrStrength_3,arnrStrength_6,workload,median-time,mean-time,std-time,mean-compression-ratio,std-compression-ratio,id
1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,akiyo_cif.y4m,16.24,16.244,0.020736,0.004699,0.0,124
1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,akiyo_cif.y4m,16.27,16.27,0.041231,0.004699,0.0,130
1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,akiyo_cif.y4m,23.7,23.7,0.036056,0.004379,0.0,25
1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,akiyo_cif.y4m,32.5,32.502,0.096021,0.004722,0.0,31
1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,akiyo_cif.y4m,16.63,16.652,0.065345,0.004193,0.0,19
1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,akiyo_cif.y4m,17.04,17.058,0.054498,0.0042,0.0,18
1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,akiyo_cif.y4m,26.82,26.786,0.076026,0.004859,0.0,30
1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,akiyo_cif.y4m,22.95,22.976,0.050794,0.004398,0.0,24
1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,akiyo_cif.y4m,16.22,16.236,0.027019,0.004699,0.0,131
1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,akiyo_cif.y4m,16.25,16.25,0.031623,0.004699,0.0,125
1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,akiyo_cif.y4m,17.14,17.12,0.04899,0.0042,0.0,119
1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,akiyo_cif.y4m,50.44,50.454,0.070214,0.00443,0.0,284
1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,akiyo_cif.y4m,49.46,49.418,0.183358,0.004495,0.0,290
