root,asm,wpp,rdoLevel,rdoBasic,rdoSplits,rdoChroma,rdoPrediction,rect,amp,bitdepth,8bit,10bit,me,meDia,meHex,meUmh,meStar,frameThreads,frameThreads_1,frameThreads_2,frameThreads_4,frameThreads_8,ref,ref_1,ref_3,ref_6,workload,median-time,mean-time,std-time,mean-compression-ratio,std-compression-ratio,id
1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,akiyo_cif.y4m,17.94,17.924,0.04827,0.001084,0.0,92
1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,akiyo_cif.y4m,1.52,1.516,0.030496,0.000961,0.0,178
1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,akiyo_cif.y4m,9.56,9.556,0.047223,0.001085,0.0,86
1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,akiyo_cif.y4m,1.52,1.51,0.02,0.000959,0.0,150
1,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,akiyo_cif.y4m,3.59,3.598,0.029496,0.000924,0.0,144
1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,akiyo_cif.y4m,0.92,0.918,0.013038,0.001048,0.0,51
1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,akiyo_cif.y4m,1.39,1.394,0.018166,0.001415,0.0,3
1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,akiyo_cif.y4m,1.44,1.446,0.015166,0.001048,0.0,45
1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,akiyo_cif.y4m,9.66,9.668,0.029496,0.001079,0.0,193
1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,akiyo_cif.y4m,4.43,4.43,0.014142,0.001071,0.0,187
1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,akiyo_cif.y4m,7.43,7.428,0.013038,0.001085,0.0,79
1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,akiyo_cif.y4m,4.27,4.274,0.02881,0.001076,0.0,352
1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,akiyo_cif.y4m,7.32,7.326,0.018166,0.001066,0.0,346
1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,akiyo_cif.y4m,9.27,9.282,0.038987,0.001046,0.0,347
1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,akiyo_cif.y4m,10.77,10.774,0.011402,0.001066,0.0,353
1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,akiyo_cif.y4m,8.15,8.154,0.011402,0.001071,0.0,186
1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,akiyo_cif.y4m,7.42,7.438,0.030332,0.001085,0.0,78
1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,akiyo_cif.y4m,11.87,11.864,0.013416,0.001079,0.0,192
1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,akiyo_cif.y4m,1.83,1.828,0.004472,0.000994,0.0,44
1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,akiyo_cif.y4m,0.91,0.91,0.015811,0.001047,0.0,50
1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,akiyo_cif.y4m,1.67,1.666,0.005477,0.001382,0.0,2
1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,akiyo_cif.y4m,2.76,2.772,0.044385,0.000931,0.0,145
1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,akiyo_cif.y4m,2.07,2.062,0.013038,0.000961,0.0,151
1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,akiyo_cif.y4m,1.43,1.428,0.010954,0.000983,0.0,179
1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,akiyo_cif.y4m,9.6,9.598,0.086139,0.001085,0.0,87
1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,akiyo_cif.y4m,9.76,9.764,0.066933,0.001089,0.0,93
1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,akiyo_cif.y4m,2.99,2.994,0.015166,0.000947,0.0,233
1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,akiyo_cif.y4m,4.52,4.52,0.01,0.000926,0.0,227
