OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,MVSTORE,config,workload,throughput
False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,37,smallbank-10,18272.8924892321
False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,37,ycsb-2400,18632.418912324
False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,37,voter-16,47659.89985146
False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,37,voter-2,46984.9833270687
False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,37,ycsb-600,26644.8155281783
False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,37,smallbank-1,25552.8059319211
False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,37,tpcc-8,505.994562177639
False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,38,voter-2,29671.2165801256
False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,38,voter-16,30320.3332944222
False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,38,smallbank-1,22112.9947491059
False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,38,tpcc-8,658.921695216748
False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,38,ycsb-600,24542.1912885984
False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,38,smallbank-10,13463.5159380699
False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,38,tpcc-2,786.942000852603
False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,38,ycsb-2400,15390.5115846394
False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,39,smallbank-1,25871.5131182253
