root;mpm;prefork;worker;moreThreads;moreProcesses;sendfile;compression;noCompression;keepalive;basicAuth;tls;tlsAes128;tlsAes256;maxClients;compressionLevel;revision;performance;cpu;energy;fixed-energy
1;1;0;1;0;0;0;0;1;0;1;1;1;0;1024;0;2.2.0;163.366000;51.557617;7142.000000;7468.915112
1;1;0;1;0;0;0;0;1;0;1;1;1;0;2048;0;2.2.0;166.780400;50.418151;7089.200000;7350.128765
1;1;0;1;0;0;0;0;1;0;1;1;1;0;4096;0;2.2.0;161.826200;51.987317;7004.400000;7353.298473
1;1;0;1;0;0;0;0;1;1;0;1;0;1;512;0;2.2.0;31.682200;46.969133;1325.800000;4288.084161
1;1;0;1;0;0;0;0;1;1;0;1;0;1;1024;0;2.2.0;31.232600;48.187387;1316.600000;4183.845557
1;1;0;1;0;0;0;0;1;1;0;1;0;1;2048;0;2.2.0;31.886600;47.271510;1305.400000;4265.128442
1;1;0;1;0;0;0;0;1;1;0;1;0;1;4096;0;2.2.0;31.162200;48.523785;1308.400000;4263.322772
1;1;0;1;0;0;0;0;1;1;0;1;1;0;512;0;2.2.0;31.318600;47.045583;1274.600000;4170.334895
1;1;0;1;0;0;0;0;1;1;0;1;1;0;1024;0;2.2.0;31.223200;48.036737;1282.800000;4139.948537
1;1;0;1;0;0;0;0;1;1;0;1;1;0;2048;0;2.2.0;31.651400;48.082274;1333.800000;4203.186509
1;1;0;1;0;0;0;0;1;1;0;1;1;0;4096;0;2.2.0;31.528200;47.773703;1294.400000;4119.290172
1;1;0;1;0;0;0;0;1;1;1;1;0;1;512;0;2.2.0;31.279600;63.003578;1436.400000;4320.517272
1;1;0;1;0;0;0;0;1;1;1;1;0;1;1024;0;2.2.0;32.145000;62.370265;1487.000000;4401.053357
1;1;0;1;0;0;0;0;1;1;1;1;0;1;2048;0;2.2.0;32.028600;63.873548;1472.800000;4456.124336
1;1;0;1;0;0;0;0;1;1;1;1;0;1;4096;0;2.2.0;32.699200;61.308125;1498.400000;4410.069542
1;1;0;1;0;0;0;0;1;1;1;1;1;0;512;0;2.2.0;31.198200;64.500000;1497.000000;4491.134802
1;1;0;1;0;0;0;0;1;1;1;1;1;0;1024;0;2.2.0;32.209000;61.621552;1474.600000;4286.878010
1;1;0;1;0;0;0;0;1;1;1;1;1;0;2048;0;2.2.0;32.122200;62.405320;1472.800000;4394.944216
1;1;0;1;0;0;0;0;1;1;1;1;1;0;4096;0;2.2.0;32.164000;62.044167;1479.000000;4382.724174
1;1;0;1;0;0;1;0;1;0;0;1;0;1;512;0;2.2.0;166.225400;47.377983;6975.800000;7243.118982
1;1;0;1;0;0;1;0;1;0;0;1;0;1;1024;0;2.2.0;164.829000;47.997225;6761.200000;7051.726257
1;1;0;1;0;0;1;0;1;0;0;1;0;1;2048;0;2.2.0;165.004400;47.910542;6963.400000;7260.437097
1;1;0;1;0;0;1;0;1;0;0;1;0;1;4096;0;2.2.0;167.101000;47.413626;7040.000000;7288.677228
1;1;0;1;0;0;1;0;1;0;0;1;1;0;512;0;2.2.0;166.126600;47.320598;6878.200000;7143.137517
1;1;0;1;0;0;1;0;1;0;0;1;1;0;1024;0;2.2.0;163.642200;48.220653;6774.600000;7089.944721
1;1;0;1;0;0;1;0;1;0;0;1;1;0;2048;0;2.2.0;163.792600;48.222575;6948.600000;7267.801372
1;1;0;1;0;0;1;0;1;0;0;1;1;0;4096;0;2.2.0;164.911600;48.481684;6946.000000;7248.441672
1;1;0;1;0;0;1;0;1;0;1;1;0;1;512;0;2.2.0;165.621400;51.525838;7179.200000;7469.937876
1;1;0;1;0;0;1;0;1;0;1;1;0;1;1024;0;2.2.0;165.680800;50.858831;7196.800000;7474.233878
1;1;0;1;0;0;1;0;1;0;1;1;0;1;2048;0;2.2.0;164.106800;51.423670;6951.200000;7258.674988
1;1;0;1;0;0;1;0;1;0;1;1;0;1;4096;0;2.2.0;165.907200;50.812803;7182.000000;7459.491301
1;1;0;1;0;0;1;0;1;0;1;1;1;0;512;0;2.2.0;166.063000;50.504177;7161.600000;7430.823985
1;1;0;1;0;0;1;0;1;0;1;1;1;0;1024;0;2.2.0;165.318400;50.967893;7042.400000;7324.050784
1;1;0;1;0;0;1;0;1;0;1;1;1;0;2048;0;2.2.0;165.940800;50.754838;7065.800000;7336.825578
1;1;0;1;0;0;1;0;1;0;1;1;1;0;4096;0;2.2.0;164.348400;51.247773;7159.800000;7468.336038
1;1;0;1;0;0;1;0;1;1;0;1;0;1;512;0;2.2.0;31.376000;47.262327;1296.800000;4194.734468
1;1;0;1;0;0;1;0;1;1;0;1;0;1;1024;0;2.2.0;31.984400;47.362690;1287.000000;4153.680528
1;1;0;1;0;0;1;0;1;1;0;1;0;1;2048;0;2.2.0;31.786200;47.637049;1306.200000;4270.510133
1;1;0;1;0;0;1;0;1;1;0;1;0;1;4096;0;2.2.0;31.858200;48.182742;1325.800000;4282.565776
1;1;0;1;0;0;1;0;1;1;0;1;1;0;512;0;2.2.0;31.094600;47.750167;1300.000000;4222.637677
1;1;0;1;0;0;1;0;1;1;0;1;1;0;1024;0;2.2.0;31.417400;47.684753;1294.200000;4102.052175
1;1;0;1;0;0;1;0;1;1;0;1;1;0;2048;0;2.2.0;31.625400;47.479445;1285.200000;4188.948917
1;1;0;1;0;0;1;0;1;1;0;1;1;0;4096;0;2.2.0;31.690400;49.229859;1336.400000;4346.375122
1;1;0;1;0;0;1;0;1;1;1;1;0;1;512;0;2.2.0;32.436000;61.130606;1485.200000;4395.822520
