root;fsync;synchronousCommit;fullPageWrites;trackActivities;trackCounts;sharedBuffers;tempBuffers;workMem;revision;performance;energy
1;0;0;1;1;0;128;8;4096;8.3.0;46503.200000;1480.800000
1;0;0;1;1;0;256;8;4096;8.3.0;46502.600000;1494.400000
1;0;0;1;1;0;64;32;4096;8.3.0;46914.000000;1496.800000
1;0;0;1;1;0;128;32;4096;8.3.0;46256.600000;1492.000000
1;0;0;1;1;0;256;32;4096;8.3.0;47278.000000;1549.200000
1;0;0;1;1;1;64;2;256;8.3.0;46643.200000;1512.400000
1;0;0;1;1;1;128;2;256;8.3.0;46688.400000;1526.000000
1;0;0;1;1;1;256;2;256;8.3.0;46651.400000;1498.200000
1;0;0;1;1;1;64;8;256;8.3.0;46834.400000;1536.400000
1;0;0;1;1;1;128;8;256;8.3.0;46778.000000;1499.600000
1;0;0;1;1;1;256;8;256;8.3.0;46788.600000;1513.400000
1;0;0;1;1;1;64;32;256;8.3.0;46565.600000;1491.400000
1;0;0;1;1;1;128;32;256;8.3.0;46567.800000;1491.200000
1;0;0;1;1;1;256;32;256;8.3.0;46605.000000;1492.400000
1;0;0;1;1;1;64;2;1024;8.3.0;46681.800000;1527.200000
1;0;0;1;1;1;128;2;1024;8.3.0;46692.600000;1491.400000
1;0;0;1;1;1;256;2;1024;8.3.0;47568.600000;1550.600000
1;0;0;1;1;1;64;8;1024;8.3.0;46645.600000;1501.400000
1;0;0;1;1;1;128;8;1024;8.3.0;46669.000000;1506.800000
1;0;0;1;1;1;256;8;1024;8.3.0;46796.200000;1517.000000
1;0;0;1;1;1;64;32;1024;8.3.0;46610.200000;1472.400000
1;0;0;1;1;1;128;32;1024;8.3.0;46659.600000;1514.600000
1;0;0;1;1;1;256;32;1024;8.3.0;46821.800000;1511.600000
1;0;0;1;1;1;64;2;4096;8.3.0;46572.800000;1509.600000
1;0;0;1;1;1;128;2;4096;8.3.0;46785.800000;1533.800000
1;0;0;1;1;1;256;2;4096;8.3.0;46800.000000;1511.800000
