root;multiAccept;sendfile;compression;noCompression;serverCache;keepalive;basicAuth;tls;ecdsaCertificate;aesTls;tlsMoreBits;tcpNoDelay;tcpNoPush;processCount;compressionLevel;performance;energy
1;1;1;0;1;1;0;1;0;0;0;0;1;1;8;1;4.494400;231.000000
1;1;0;1;0;0;0;1;0;0;0;0;0;0;1;1;21.213600;640.400000
1;1;0;1;0;0;0;1;0;0;0;0;0;0;2;1;9.604200;353.000000
1;1;0;1;0;0;0;1;0;0;0;0;0;0;4;1;4.971400;212.600000
1;1;0;1;0;0;0;1;0;0;0;0;0;0;8;1;5.023600;245.200000
1;1;0;1;0;0;0;1;0;0;0;0;0;0;1;5;20.131400;650.600000
1;1;0;1;0;0;0;1;0;0;0;0;0;0;2;5;9.660000;364.000000
1;1;0;1;0;0;0;1;0;0;0;0;0;0;4;5;5.113800;224.000000
1;1;0;1;0;0;0;1;0;0;0;0;0;0;8;5;5.116200;276.600000
1;1;0;1;0;0;0;1;0;0;0;0;0;0;1;9;20.935400;648.200000
1;1;0;1;0;0;0;1;0;0;0;0;0;0;2;9;10.026200;374.200000
1;1;0;1;0;0;0;1;0;0;0;0;0;0;4;9;5.231600;266.800000
1;1;0;1;0;0;0;1;0;0;0;0;0;0;8;9;5.220400;230.600000
1;1;0;1;0;0;0;1;0;0;0;0;0;1;1;1;21.060200;654.000000
1;1;0;1;0;0;0;1;0;0;0;0;0;1;2;1;9.439800;357.000000
1;1;0;1;0;0;0;1;0;0;0;0;0;1;4;1;4.987800;216.800000
1;1;0;1;0;0;0;1;0;0;0;0;0;1;8;1;5.059600;225.800000
1;1;0;1;0;0;0;1;0;0;0;0;0;1;1;5;20.829800;648.600000
1;1;0;1;0;0;0;1;0;0;0;0;0;1;2;5;9.965200;373.400000
1;1;0;1;0;0;0;1;0;0;0;0;0;1;4;5;5.183400;266.200000
1;1;0;1;0;0;0;1;0;0;0;0;0;1;8;5;5.176200;218.000000
1;1;0;1;0;0;0;1;0;0;0;0;0;1;1;9;20.355000;643.400000
1;1;0;1;0;0;0;1;0;0;0;0;0;1;2;9;9.889200;364.800000
1;1;0;1;0;0;0;1;0;0;0;0;0;1;4;9;5.213200;230.400000
1;1;0;1;0;0;0;1;0;0;0;0;0;1;8;9;5.131600;255.000000
1;1;0;1;0;0;0;1;0;0;0;0;1;0;1;1;20.237000;635.800000
1;1;0;1;0;0;0;1;0;0;0;0;1;0;2;1;10.063600;360.800000
1;1;0;1;0;0;0;1;0;0;0;0;1;0;4;1;5.006200;234.000000
1;1;0;1;0;0;0;1;0;0;0;0;1;0;8;1;5.071400;234.400000
1;1;0;1;0;0;0;1;0;0;0;0;1;0;1;5;20.485600;637.200000
1;1;0;1;0;0;0;1;0;0;0;0;1;0;2;5;9.906400;381.000000
1;1;0;1;0;0;0;1;0;0;0;0;1;0;4;5;5.185600;220.800000
1;1;0;1;0;0;0;1;0;0;0;0;1;0;8;5;5.157600;256.600000
1;1;0;1;0;0;0;1;0;0;0;0;1;0;1;9;21.576800;682.200000
1;1;0;1;0;0;0;1;0;0;0;0;1;0;2;9;9.911800;380.200000
1;1;0;1;0;0;0;1;0;0;0;0;1;0;4;9;5.227600;251.600000
1;1;0;1;0;0;0;1;0;0;0;0;1;0;8;9;5.231400;242.600000
1;1;0;1;0;0;0;1;0;0;0;0;1;1;1;1;20.105400;639.200000
1;1;0;1;0;0;0;1;0;0;0;0;1;1;2;1;9.702000;364.800000
1;1;0;1;0;0;0;1;0;0;0;0;1;1;4;1;4.990600;215.200000
1;1;0;1;0;0;0;1;0;0;0;0;1;1;8;1;5.012400;210.400000
1;1;0;1;0;0;0;1;0;0;0;0;1;1;1;5;20.856400;644.000000
1;1;0;1;0;0;0;1;0;0;0;0;1;1;2;5;9.638800;379.000000
1;1;0;1;0;0;0;1;0;0;0;0;1;1;4;5;5.134000;252.400000
1;1;0;1;0;0;0;1;0;0;0;0;1;1;8;5;5.110600;238.400000
1;1;0;1;0;0;0;1;0;0;0;0;1;1;1;9;19.184200;624.000000
1;1;0;1;0;0;0;1;0;0;0;0;1;1;2;9;9.898600;373.000000
1;1;0;1;0;0;0;1;0;0;0;0;1;1;4;9;5.147400;275.200000
1;1;0;1;0;0;0;1;0;0;0;0;1;1;8;9;5.161000;265.600000
1;1;0;1;0;1;0;1;0;0;0;0;0;0;1;1;18.505200;603.600000
1;1;0;1;0;1;0;1;0;0;0;0;0;0;2;1;9.605000;366.000000
1;1;0;1;0;1;0;1;0;0;0;0;0;0;4;1;4.997600;222.800000
1;1;0;1;0;1;0;1;0;0;0;0;0;0;8;1;4.970800;214.400000
1;1;0;1;0;1;0;1;0;0;0;0;0;0;1;5;21.215600;653.800000
1;1;0;1;0;1;0;1;0;0;0;0;0;0;2;5;10.132200;379.000000
1;1;0;1;0;1;0;1;0;0;0;0;0;0;4;5;5.071200;234.800000
1;1;0;1;0;1;0;1;0;0;0;0;0;0;8;5;5.054600;226.400000
1;1;0;1;0;1;0;1;0;0;0;0;0;0;1;9;20.469200;659.000000
1;1;0;1;0;1;0;1;0;0;0;0;0;0;2;9;10.022400;374.000000
1;1;0;1;0;1;0;1;0;0;0;0;0;0;4;9;5.094400;230.400000
1;1;0;1;0;1;0;1;0;0;0;0;0;0;8;9;5.075400;214.800000
1;1;0;1;0;1;0;1;0;0;0;0;0;1;1;1;21.098000;650.000000
1;1;0;1;0;1;0;1;0;0;0;0;0;1;2;1;9.660400;363.600000
1;1;0;1;0;1;0;1;0;0;0;0;0;1;4;1;4.906400;225.600000
1;1;0;1;0;1;0;1;0;0;0;0;0;1;8;1;4.935000;208.600000
1;1;0;1;0;1;0;1;0;0;0;0;0;1;1;5;19.820400;651.600000
1;1;0;1;0;1;0;1;0;0;0;0;0;1;2;5;10.171600;372.200000
1;1;0;1;0;1;0;1;0;0;0;0;0;1;4;5;5.065600;239.800000
1;1;0;1;0;1;0;1;0;0;0;0;0;1;8;5;5.146800;259.800000
1;1;0;1;0;1;0;1;0;0;0;0;0;1;1;9;20.083000;629.000000
1;1;0;1;0;1;0;1;0;0;0;0;0;1;2;9;9.794600;370.600000
1;1;0;1;0;1;0;1;0;0;0;0;0;1;4;9;5.049200;223.000000
1;1;0;1;0;1;0;1;0;0;0;0;0;1;8;9;5.148600;256.200000
1;1;0;1;0;1;0;1;0;0;0;0;1;0;1;1;19.189600;602.600000
1;1;0;1;0;1;0;1;0;0;0;0;1;0;2;1;9.648600;370.800000
1;1;0;1;0;1;0;1;0;0;0;0;1;0;4;1;4.964400;212.200000
1;1;0;1;0;1;0;1;0;0;0;0;1;0;8;1;4.941000;221.800000
1;1;0;1;0;1;0;1;0;0;0;0;1;0;1;5;20.080400;654.400000
1;1;0;1;0;1;0;1;0;0;0;0;1;0;2;5;10.073000;373.800000
1;1;0;1;0;1;0;1;0;0;0;0;1;0;4;5;5.122600;244.400000
1;1;0;1;0;1;0;1;0;0;0;0;1;0;8;5;5.104800;233.400000
1;1;0;1;0;1;0;1;0;0;0;0;1;0;1;9;21.515400;648.000000
1;1;0;1;0;1;0;1;0;0;0;0;1;0;2;9;9.967200;385.400000
1;1;0;1;0;1;0;1;0;0;0;0;1;0;4;9;5.123000;268.600000
1;1;0;1;0;1;0;1;0;0;0;0;1;0;8;9;5.168600;262.000000
1;1;0;1;0;1;0;1;0;0;0;0;1;1;1;1;19.901600;623.000000
1;1;0;1;0;1;0;1;0;0;0;0;1;1;2;1;9.528200;361.800000
1;1;0;1;0;1;0;1;0;0;0;0;1;1;4;1;4.958400;212.200000
1;1;0;1;0;1;0;1;0;0;0;0;1;1;8;1;4.931800;226.200000
1;1;0;1;0;1;0;1;0;0;0;0;1;1;1;5;21.651000;650.200000
1;1;0;1;0;1;0;1;0;0;0;0;1;1;2;5;9.769600;365.200000
1;1;0;1;0;1;0;1;0;0;0;0;1;1;4;5;5.033600;237.200000
1;1;0;1;0;1;0;1;0;0;0;0;1;1;8;5;5.086400;230.000000
1;1;0;1;0;1;0;1;0;0;0;0;1;1;1;9;21.200600;663.800000
1;1;0;1;0;1;0;1;0;0;0;0;1;1;2;9;10.008800;363.400000
1;1;0;1;0;1;0;1;0;0;0;0;1;1;4;9;5.104000;218.600000
1;1;0;1;0;1;0;1;0;0;0;0;1;1;8;9;5.118600;246.000000
1;1;1;1;0;0;0;1;0;0;0;0;0;0;1;1;19.829600;643.200000
1;1;1;1;0;0;0;1;0;0;0;0;0;0;2;1;9.609200;388.200000
1;1;1;1;0;0;0;1;0;0;0;0;0;0;4;1;5.026400;228.000000
1;1;1;1;0;0;0;1;0;0;0;0;0;0;8;1;5.051400;223.400000
1;1;1;1;0;0;0;1;0;0;0;0;0;0;1;5;21.086800;661.200000
1;1;1;1;0;0;0;1;0;0;0;0;0;0;2;5;9.925000;368.800000
1;1;1;1;0;0;0;1;0;0;0;0;0;0;4;5;5.196400;283.800000
1;1;1;1;0;0;0;1;0;0;0;0;0;0;8;5;5.122800;264.000000
1;1;1;1;0;0;0;1;0;0;0;0;0;0;1;9;20.545800;650.400000
1;1;1;1;0;0;0;1;0;0;0;0;0;0;2;9;9.900000;379.800000
1;1;1;1;0;0;0;1;0;0;0;0;0;0;4;9;5.195400;217.400000
1;1;1;1;0;0;0;1;0;0;0;0;0;0;8;9;5.132400;289.400000
1;1;1;1;0;0;0;1;0;0;0;0;0;1;1;1;20.975400;657.400000
1;1;1;1;0;0;0;1;0;0;0;0;0;1;2;1;9.709400;372.200000
1;1;1;1;0;0;0;1;0;0;0;0;0;1;4;1;4.990800;180.400000
1;1;1;1;0;0;0;1;0;0;0;0;0;1;8;1;5.057600;194.400000
1;1;1;1;0;0;0;1;0;0;0;0;0;1;1;5;21.275600;668.400000
1;1;1;1;0;0;0;1;0;0;0;0;0;1;2;5;10.124800;394.000000
1;1;1;1;0;0;0;1;0;0;0;0;0;1;4;5;5.137800;252.600000
1;1;1;1;0;0;0;1;0;0;0;0;0;1;8;5;5.161200;233.400000
1;1;1;1;0;0;0;1;0;0;0;0;0;1;1;9;21.878800;661.400000
1;1;1;1;0;0;0;1;0;0;0;0;0;1;2;9;9.858400;364.000000
1;1;1;1;0;0;0;1;0;0;0;0;0;1;4;9;5.152800;228.400000
1;1;1;1;0;0;0;1;0;0;0;0;0;1;8;9;5.163200;240.200000
1;1;1;1;0;0;0;1;0;0;0;0;1;0;1;1;20.362200;639.600000
1;1;1;1;0;0;0;1;0;0;0;0;1;0;2;1;9.766400;365.400000
1;1;1;1;0;0;0;1;0;0;0;0;1;0;4;1;4.975400;185.200000
1;1;1;1;0;0;0;1;0;0;0;0;1;0;8;1;5.017600;172.000000
1;1;1;1;0;0;0;1;0;0;0;0;1;0;1;5;21.234800;657.000000
1;1;1;1;0;0;0;1;0;0;0;0;1;0;2;5;9.900600;387.600000
1;1;1;1;0;0;0;1;0;0;0;0;1;0;4;5;5.166600;262.200000
1;1;1;1;0;0;0;1;0;0;0;0;1;0;8;5;5.236000;286.000000
1;1;1;1;0;0;0;1;0;0;0;0;1;0;1;9;21.740800;669.600000
1;1;1;1;0;0;0;1;0;0;0;0;1;0;2;9;9.761800;376.400000
1;1;1;1;0;0;0;1;0;0;0;0;1;0;4;9;5.150800;260.400000
1;1;1;1;0;0;0;1;0;0;0;0;1;0;8;9;5.179400;281.200000
1;1;1;1;0;0;0;1;0;0;0;0;1;1;1;1;19.481800;630.200000
1;1;1;1;0;0;0;1;0;0;0;0;1;1;2;1;9.773200;367.200000
1;1;1;1;0;0;0;1;0;0;0;0;1;1;4;1;5.019000;218.600000
1;1;1;1;0;0;0;1;0;0;0;0;1;1;8;1;5.016000;167.800000
1;1;1;1;0;0;0;1;0;0;0;0;1;1;1;5;20.480600;656.200000
1;1;1;1;0;0;0;1;0;0;0;0;1;1;2;5;9.984200;383.800000
1;1;1;1;0;0;0;1;0;0;0;0;1;1;4;5;5.235000;266.000000
1;1;1;1;0;0;0;1;0;0;0;0;1;1;8;5;5.196400;267.600000
1;1;1;1;0;0;0;1;0;0;0;0;1;1;1;9;21.584600;654.600000
1;1;1;1;0;0;0;1;0;0;0;0;1;1;2;9;10.103600;372.800000
1;1;1;1;0;0;0;1;0;0;0;0;1;1;4;9;5.140400;247.200000
1;1;1;1;0;0;0;1;0;0;0;0;1;1;8;9;5.157800;283.200000
1;1;1;1;0;1;0;1;0;0;0;0;0;0;1;1;20.441200;630.600000
1;1;1;1;0;1;0;1;0;0;0;0;0;0;2;1;9.436600;363.400000
1;1;1;1;0;1;0;1;0;0;0;0;0;0;4;1;4.914400;174.000000
1;1;1;1;0;1;0;1;0;0;0;0;0;0;8;1;4.912000;159.200000
1;1;1;1;0;1;0;1;0;0;0;0;0;0;1;5;21.327000;667.000000
1;1;1;1;0;1;0;1;0;0;0;0;0;0;2;5;9.935000;360.400000
1;1;1;1;0;1;0;1;0;0;0;0;0;0;4;5;5.098800;237.800000
1;1;1;1;0;1;0;1;0;0;0;0;0;0;8;5;5.125600;264.400000
1;1;1;1;0;1;0;1;0;0;0;0;0;0;1;9;20.583800;645.400000
1;1;1;1;0;1;0;1;0;0;0;0;0;0;2;9;9.983800;370.200000
1;1;1;1;0;1;0;1;0;0;0;0;0;0;4;9;5.106800;228.000000
1;1;1;1;0;1;0;1;0;0;0;0;0;0;8;9;5.140200;271.800000
1;1;1;1;0;1;0;1;0;0;0;0;0;1;1;1;19.512800;616.600000
1;1;1;1;0;1;0;1;0;0;0;0;0;1;2;1;9.558800;365.800000
1;1;1;1;0;1;0;1;0;0;0;0;0;1;4;1;4.992000;161.000000
1;1;1;1;0;1;0;1;0;0;0;0;0;1;8;1;4.922400;168.200000
1;1;1;1;0;1;0;1;0;0;0;0;0;1;1;5;20.376800;645.600000
1;1;1;1;0;1;0;1;0;0;0;0;0;1;2;5;10.109200;366.600000
1;1;1;1;0;1;0;1;0;0;0;0;0;1;4;5;5.094200;237.200000
1;1;1;1;0;1;0;1;0;0;0;0;0;1;8;5;5.085200;271.000000
1;1;1;1;0;1;0;1;0;0;0;0;0;1;1;9;21.496200;645.800000
1;1;1;1;0;1;0;1;0;0;0;0;0;1;2;9;10.014000;369.200000
1;1;1;1;0;1;0;1;0;0;0;0;0;1;4;9;5.104000;249.200000
1;1;1;1;0;1;0;1;0;0;0;0;0;1;8;9;5.097200;260.600000
1;1;1;1;0;1;0;1;0;0;0;0;1;0;1;1;18.425200;600.200000
1;1;1;1;0;1;0;1;0;0;0;0;1;0;2;1;9.441800;361.400000
1;1;1;1;0;1;0;1;0;0;0;0;1;0;4;1;4.902000;184.600000
1;1;1;1;0;1;0;1;0;0;0;0;1;0;8;1;4.921000;223.200000
1;1;1;1;0;1;0;1;0;0;0;0;1;0;1;5;21.149600;665.000000
1;1;1;1;0;1;0;1;0;0;0;0;1;0;2;5;9.847600;383.000000
1;1;1;1;0;1;0;1;0;0;0;0;1;0;4;5;5.109000;239.600000
1;1;1;1;0;1;0;1;0;0;0;0;1;0;8;5;5.097000;258.200000
1;1;1;1;0;1;0;1;0;0;0;0;1;0;1;9;21.044600;656.800000
1;1;1;1;0;1;0;1;0;0;0;0;1;0;2;9;10.060200;375.600000
1;1;1;1;0;1;0;1;0;0;0;0;1;0;4;9;5.100200;231.600000
1;1;1;1;0;1;0;1;0;0;0;0;1;0;8;9;5.179400;235.600000
1;1;1;1;0;1;0;1;0;0;0;0;1;1;1;1;20.569800;637.800000
1;1;1;1;0;1;0;1;0;0;0;0;1;1;2;1;9.681600;376.200000
1;1;1;1;0;1;0;1;0;0;0;0;1;1;4;1;4.904400;207.800000
1;1;1;1;0;1;0;1;0;0;0;0;1;1;8;1;4.964200;163.200000
1;1;1;1;0;1;0;1;0;0;0;0;1;1;1;5;21.278200;649.600000
1;1;1;1;0;1;0;1;0;0;0;0;1;1;2;5;9.820800;369.800000
1;1;1;1;0;1;0;1;0;0;0;0;1;1;4;5;5.169400;237.000000
1;1;1;1;0;1;0;1;0;0;0;0;1;1;8;5;5.154000;258.600000
1;1;1;1;0;1;0;1;0;0;0;0;1;1;1;9;19.923600;646.200000
1;1;1;1;0;1;0;1;0;0;0;0;1;1;2;9;9.792800;355.200000
1;1;1;1;0;1;0;1;0;0;0;0;1;1;4;9;5.082600;215.000000
1;1;1;1;0;1;0;1;0;0;0;0;1;1;8;9;5.100200;223.400000
1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;2.060600;41.800000
1;0;0;0;1;0;1;0;0;0;0;0;0;0;2;1;2.280400;46.200000
1;0;0;0;1;0;1;0;0;0;0;0;0;0;4;1;2.280200;47.400000
